korean_title,japanese_title,english_title
은혼,銀魂,Gintama
원피스,ONE PIECE,One Piece
헌터×헌터,HUNTER×HUNTER,Hunter x Hunter
나루토,NARUTO,Naruto
블리치,BLEACH,Bleach
드래곤볼,DRAGON BALL,Dragon Ball
슬램덩크,SLAM DUNK,Slam Dunk
데스노트,DEATH NOTE,Death Note
진격의 거인,進撃の巨人,Attack on Titan
귀멸의 칼날,鬼滅の刃,Demon Slayer
유유백서,幽☆遊☆白書,Yu Yu Hakusho
명탐정 코난,名探偵コナン,Detective Conan
도라에몽,ドラえもん,Doraemon
짱구는 못말려,クレヨンしんちゃん,Crayon Shin-chan
포켓몬스터,ポケットモンスター,Pokémon
원펀맨,ワンパンマン,One-Punch Man
주술회전,呪術廻戦,Jujutsu Kaisen
하이큐!!,ハイキュー!!,Haikyu!!
나의 히어로 아카데미아,僕のヒーローアカデミア,My Hero Academia
도쿄 구울,東京喰種,Tokyo Ghoul
강철의 연금술사,鋼の錬金術師,Fullmetal Alchemist
페어리 테일,FAIRY TAIL,Fairy Tail
도쿄 리벤저스,東京卍リベンジャーズ,Tokyo Revengers
체인소 맨,チェンソーマン,Chainsaw Man
스파이 패밀리,SPY×FAMILY,SPY×FAMILY
약속의 네버랜드,約束のネバーランド,The Promised Neverland
기생수,寄生獣,Parasyte
바람의 검심,るろうに剣心,Rurouni Kenshin
유희왕,遊☆戯☆王,Yu-Gi-Oh!
세일러문,美少女戦士セーラームーン,Sailor Moon
이누야샤,犬夜叉,InuYasha
란마 1/2,らんま1/2,Ranma 1/2
테니스의 왕자,テニスの王子様,The Prince of Tennis
블랙 클로버,ブラッククローバー,Black Clover
카드캡터 사쿠라,カードキャプターさくら,Cardcaptor Sakura
미스터 초밥왕,将太の寿司,Cooking Master Boy
코바야시네 메이드래곤,小林さんちのメイドラゴン,Miss Kobayashi’s Dragon Maid
바키,バキ,Baki
나츠메 우인장,夏目友人帳,Natsume’s Book of Friends
은하철도 999,銀河鉄道999,Galaxy Express 999
아기와 나,あずきちゃん,A Baby and Me
천재 바카본,天才バカボン,Tensai Bakabon
터치,タッチ,Touch
러브히나,ラブひな,Love Hina
아이실드21,アイシールド21,Eyeshield 21
